ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-328N|refseq:NP_612815|uniprotkb:Q07817	 DIP-232N|uniprotkb:Q07812	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:9194558|pmid:18547146|pmid:18981409|pmid:18981409	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9194558	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-2E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 DIP-368N|uniprotkb:P04637	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9194558	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-4E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-368N|uniprotkb:P04637	 DIP-257N|refseq:NP_001420|uniprotkb:Q09472	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)	-	pmid:11070080|pmid:9194565	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-6E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-748N|uniprotkb:P43268	 DIP-257N|refseq:NP_001420|uniprotkb:Q09472	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9194565	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-7E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 DIP-765N|uniprotkb:P16220	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7913207	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-8E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 DIP-624N|refseq:NP_001073885|uniprotkb:P10243	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9210395	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-9E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-257N|refseq:NP_001420|uniprotkb:Q09472	 DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:9199306	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-10E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-331N|uniprotkb:P36956	 DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8918891	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-74N|uniprotkb:P15923	 DIP-327N|uniprotkb:Q04650	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9199284	taxid:9606	taxid:10036	MI:0218(physical interaction)	MI:0465(dip)	DIP-12E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-278N|uniprotkb:Q60520	 DIP-951N|uniprotkb:Q9Y618	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9150137	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-13E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	 DIP-74N|uniprotkb:P15923	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:9184158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-14E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	 DIP-425N|refseq:NP_005602|uniprotkb:Q08999	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:9121766	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-15E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-266N|refseq:NP_001941|uniprotkb:Q16254	 DIP-425N|refseq:NP_005602|uniprotkb:Q08999	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9121766	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-16E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-713N|refseq:NP_002158|uniprotkb:Q02535	 DIP-163N|refseq:NP_003190|uniprotkb:P15884	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8999959	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-17E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-617N|refseq:NP_000607|uniprotkb:P01730	 DIP-145N|uniprotkb:Q9PY23	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8906795	taxid:9606	taxid:11676	MI:0218(physical interaction)	MI:0465(dip)	DIP-19E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-681N|refseq:NP_014069|uniprotkb:P32561	 DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8917507	taxid:4932	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-20E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1042N|uniprotkb:P00519	 DIP-182N|uniprotkb:Q13315	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9168117	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-25E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-785N|refseq:NP_011062|uniprotkb:P39958	 DIP-372N|uniprotkb:P20338	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9184135	taxid:4932	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-29E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	 DIP-674N|refseq:NP_058706|uniprotkb:P35439	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9009191	taxid:9606	taxid:10116	MI:0218(physical interaction)	MI:0465(dip)	DIP-30E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	 DIP-538N|refseq:NP_001734|uniprotkb:P02593	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9009191	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-31E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-155N|uniprotkb:P31314	 DIP-459N|refseq:NP_006234|uniprotkb:Q15172	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9009195	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-32E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-215N|uniprotkb:P35918	 DIP-165N|uniprotkb:P15692	 -	 -	 -	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0030(cross-linking study)	-	pmid:7681362|pmid:7681362|pmid:7681362	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-34E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-459N|refseq:NP_006234|uniprotkb:Q15172	 DIP-908N|uniprotkb:Q94818	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9201974	taxid:9606	taxid:5911	MI:0218(physical interaction)	MI:0465(dip)	DIP-35E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-617N|refseq:NP_000607|uniprotkb:P01730	 DIP-617N|refseq:NP_000607|uniprotkb:P01730	 -	 -	 -	-	MI:0030(cross-linking study)|MI:0013(biophysical)	-	pmid:9168119|pmid:9168119	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-42E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	 DIP-704N|refseq:NP_002469|uniprotkb:P15172	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9184158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-43E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-165N|uniprotkb:P15692	 DIP-643N|refseq:NP_002010|uniprotkb:P17948	 -	 -	 -	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0254(genetic interference)|MI:0401(biochemical)|MI:0013(biophysical)	-	pmid:8621427|pmid:8621427|pmid:8621427|pmid:8621427|pmid:8621427	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-44E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-165N|uniprotkb:P15692	 DIP-486N|refseq:NP_002244|uniprotkb:P35968	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:8621427	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-46E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-390N|uniprotkb:Q16623	 DIP-873N|uniprotkb:P23763	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9144278	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-49E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-617N|refseq:NP_000607|uniprotkb:P01730	 DIP-400N	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8906795	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-50E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-90N|uniprotkb:P18428	 DIP-1030N|refseq:NP_000582|uniprotkb:P08571	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:2402637	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-54E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1081N|uniprotkb:P04273	 DIP-58N|uniprotkb:P10809	 -	 -	 -	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pmid:8676499|pmid:8676499	taxid:10036	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-57E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
